SUBZONE,TOTAL,INDIANS
Ang Mo Kio Town Centre,5020,360
Cheng San,29770,2380
Chong Boon,27900,2400
Kebun Bahru,23910,1910
Sembawang Hills,6890,500
ShangriLa,18510,1790
Tagore,8350,560
Townsville,23770,1900
Yio Chu Kang,30,
Yio Chu Kang East,4080,300
Yio Chu Kang North,,
Yio Chu Kang West,26550,2060
Bayshore,7480,1360
Bedok North,85930,6430
Bedok Reservoir,25400,2020
Bedok South,51190,3780
Frankel,33570,2670
Kaki Bukit,40820,3780
Kembangan,38440,3650
Siglap,6930,1420
Bishan East,28820,2560
Marymount,31540,2300
Upper Thomson,30340,2140
Liu Fang,10,
Samulun,10,
Shipyard,,
Tukang,10,
Brickworks,,
Bukit Batok Central,26060,2410
Bukit Batok East,14570,1810
Bukit Batok South,13940,1550
Bukit Batok West,15190,1710
Gombak,9820,630
Guilin,13130,1470
Hillview,18220,1150
Hong Kah North,28340,2990
Alexandra Hill,15650,1700
Alexandra North,1000,140
Bukit Ho Swee,16290,1340
Bukit Merah,1190,130
City Terminals,40,
Depot Road,5200,490
Everton Park,9010,1020
Henderson Hill,12870,1370
Kampong Tiong Bahru,10460,1150
Maritime Square,2560,260
Redhill,12210,1010
Singapore General Hospital,10,
Telok Blangah Drive,16000,1730
Telok Blangah Rise,13820,1590
Telok Blangah Way,10690,1070
Tiong Bahru,12190,770
Tiong Bahru Station,16670,1360
Bangkit,23800,1500
Dairy Farm,5390,350
Fajar,26770,2080
Jelebu,33470,2370
Nature Reserve,3870,270
Saujana,25530,2200
Senja,20200,1530
Anak Bukit,21990,840
Coronation Road,6170,290
Farrer Court,4680,230
Hillcrest,8810,550
Holland Road,10280,440
Leedon Park,6260,400
Swiss Club,5550,300
Ulu Pandan,10730,600
Central Water Catchment,10,
Changi Airport,,
Changi Point,790,80
Changi West,1740,400
Changi Bay,,
Choa Chu Kang Central,21400,1770
Choa Chu Kang North,34380,3270
Keat Hong,15660,1730
Peng Siang,32130,3410
Teck Whye,27040,2750
Yew Tee,43710,3540
Clementi Central,13490,970
Clementi North,28730,2110
Clementi West,16470,1980
Clementi Woods,16400,1550
Faber,4320,310
Pandan,10,
Sunset Way,6290,390
Toh Tuck,40,
West Coast,5890,300
Anson,80,
Bayfront Subzone,,
Bugis,2330,160
Cecil,160,20
Central Subzone,480,40
City Hall,60,
Clifford Pier,,
Marina Centre,20,
Maxwell,,
Phillip,,
Raffles Place,60,
Tanjong Pagar,520,70
Aljunied,41710,2680
Geylang East,33380,3070
Kallang Way,40,
Kampong Ubi,13210,1180
Macpherson,28630,2960
Defu Industrial Park,20,
Hougang Central,4830,330
Hougang East,21940,1780
Hougang West,50120,4120
Kangkar,26080,2100
Kovan,25640,1490
Lorong Ah Soo,34180,2590
Lorong Halus,,
Tai Seng,14700,1190
Trafalgar,44800,4450
International Business Park,10,
Jurong Gateway,20,
Jurong Port,10,
Jurong River,10,
Lakeside,1010,80
Penjuru Crescent,10,
Teban Gardens,19080,2130
Toh Guan,16510,1640
Yuhua East,27460,3000
Yuhua West,20870,2300
Boon Lay Place,31100,2990
Chin Bee,,
Hong Kah,56870,6000
Jurong West Central,68200,5590
Kian Teck,50,
Safti,,
Taman Jurong,36940,3860
Wenya,8610,1100
Yunnan,70890,7540
Bendemeer,33830,4390
Boon Keng,10970,810
Crawford,9740,1140
Geylang Bahru,12870,1500
Kallang Bahru,30,
Kampong Bugis,890,90
Kampong Java,11260,1680
Lavender,10320,1780
Tanjong Rhu,11310,3080
Lim Chu Kang,90,
Mandai East,,
Mandai Estate,2120,240
Mandai West,,
Marina East,,
Marina South,,
East Coast,,
Katong,9620,720
Marina East (Mp),,
